,,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
12,1200,3022221,5375,112841512,150109387,5841,419914,2309066,3677536,1895324,2268466,127798,18033,24869285,23622810,0,0,19402509,330362189
12,1300,3577763,5358,123835661,161140522,4466,290617,2143100,3169243,1615872,1896117,115803,18112,33109396,39564300,0,0,23290082,396230622
12,1400,3000117,4492,103400986,134863309,3670,275282,2163392,3461550,1936809,2280662,142310,18873,36876353,41278539,0,0,20629676,345211312
12,1500,2858903,5512,124134817,161757166,4138,309891,2366169,3555579,1813936,2044122,118301,17170,30501784,25077643,0,0,15700796,215776918
12,1600,2580713,4933,108526137,140439034,3569,255375,1969755,3090061,1748201,2151667,132916,20593,36262992,26997775,0,0,15891553,199811611
12,1700,3060908,4554,93345015,129901002,3759,311609,2371703,3620034,1940636,2283526,133995,18170,32261918,31165806,0,0,19681689,320402055
12,1800,6613379,10797,126688504,291439651,7212,62781,3640213,5268580,2868576,3130977,14696,21454,59557940,72239791,0,0,30775450,399989006
12,1900,3488467,4880,104313270,158262265,3859,169710,2759009,4334547,2429489,2737078,60735,21055,29218326,33188004,0,0,20641066,344302704
12,2000,3572294,5024,124797527,158054893,4238,217023,2316991,3328635,1708678,1876218,65468,19723,18572064,23587889,0,0,23225864,415437678
12,2100,3262130,4527,104632338,132353119,3787,181134,1997220,3098615,1788358,2152518,77948,21973,25437687,33656591,0,0,23169963,400440414
12,2200,3249848,4618,124395243,158143044,5254,216639,2367244,3498175,1908993,2169018,74272,18825,27928418,29243244,0,0,19617591,359826806
12,2300,2838052,4589,121488009,149877367,3010,184327,2005118,2926246,1597642,1847105,67474,22998,32706383,24949861,0,0,15719678,227055172
12,2400,2906078,5842,108065594,169059580,6677,179272,2856556,4401918,2418529,2703282,55775,23193,43174939,43363907,0,0,15690436,207842023
12,2500,3217043,4773,125430749,163965439,2120,234742,2287517,3276213,1720031,1876460,83900,19230,28045475,32133630,0,0,25575306,418282909
12,2600,2769538,2357,78456399,102315285,2354,367292,2041418,3103662,1714635,2100166,217195,21142,31735471,39117982,0,0,27432528,368840802
12,2700,3138479,4720,109973461,144426047,2197,247874,2382197,3489288,1899918,1879270,85698,16201,22170495,32629170,0,0,20747068,380481551
12,2800,3556225,5369,112507550,142178980,2012,173760,2056709,3047598,1566581,1749765,58059,21243,31979456,36636942,6,8,22977038,426565623
12,2900,3046491,4854,118294739,153581680,1761,203835,2425933,3599922,1770120,1410383,53724,20155,30451706,30499887,0,0,19007696,345805699
12,3000,3506751,5603,124307254,147931500,1633,383006,2016419,2854440,1365497,919908,128607,23110,29041126,32920755,0,0,27227346,402639521
12,3100,2736481,4756,103803377,135452075,2533,499139,2312834,3471879,1443858,1247082,200007,26253,31954683,31645759,0,0,20256770,317496954
12,3200,2567712,7125,125104660,156338046,5776,215343,2248627,3211910,1638586,1790079,59645,20464,26346444,20904311,0,0,15306376,201076178
12,3300,2469513,4147,105007146,130255384,4301,183356,2011894,3092639,1851592,2198738,76317,21759,32126432,27273452,0,0,14355077,205233605
12,3400,4656143,8301,126869317,222713064,6180,138397,3263520,4858433,2550970,2657452,41152,15602,35638634,45918250,0,0,20338336,342977582
12,3500,6668738,12129,115712722,268377714,6565,61287,3435802,5139656,2971395,3387568,12068,20788,59639163,86433265,0,0,31512132,414021586
12,3600,3217032,5435,117744999,157960517,5250,362290,2082304,2664537,1503880,2061277,147576,17014,30695862,40491865,0,0,19607361,345688747
12,3700,3736791,6616,126418874,164360025,8447,346525,2153099,3133461,1432339,1219404,110844,15853,29769484,33091740,0,0,23772625,420557444
12,3800,3137362,4934,105377352,138366712,5187,332249,2241299,3514869,1830155,1307469,105195,21280,32469211,37175812,0,0,20748002,360739359
12,3900,3806789,7002,128464027,167022934,7146,377418,2320620,3391459,1600871,1807709,94679,12875,23196208,29390651,0,0,23226914,419147649
12,4000,3253219,4827,105368916,139691143,10162,332381,2089934,3291901,1768898,1817975,90670,26611,31092322,33106602,0,0,22494186,381175108
12,4100,3600649,6481,126171385,162811504,4270,294566,2391281,3569582,1874180,1979219,89227,23498,26580331,27681847,6,0,21881200,394941660
12,4200,3343029,5476,109143015,132323361,1912,375746,1977623,2863253,1514202,1875952,198092,17919,30272677,25308960,0,0,28154421,404307074
12,4300,3222679,5237,124501766,155230937,2078,604443,2334393,3453545,1738207,2104664,283610,16479,26255670,18350386,0,0,21552421,367565672
12,4400,3625330,5596,121039220,149526528,3352,450127,1875219,2834599,1457922,1757949,290077,15937,29931807,22305402,0,0,25291394,431778812
12,4500,3142260,5136,109831914,145273169,2620,155625,2355949,3489434,1952413,2178700,79658,18995,17958608,18804878,0,0,19246193,371039496
12,4600,3757637,6721,122747070,155353381,7439,276270,1587020,2393002,1530922,1821636,125298,33371,28889307,28784757,0,0,24287591,418175213
12,4700,3208394,5420,91128507,128059796,6241,244799,1935813,3540105,1909698,2259380,154005,31608,29242755,24784445,0,0,20322293,359089011
12,4800,3752967,5053,95266052,129459768,6696,276366,2111624,3063641,1532573,1826959,124687,33338,29303707,34059619,6,0,23638331,411386822
12,4900,3142904,4108,71123571,104543011,4698,278594,2174487,3517642,1960843,2330019,151875,30987,31120869,35071997,0,0,20234789,352062947
12,5000,3771532,5331,127330423,169535137,5387,217607,1395768,2710520,1588883,1823910,122580,19130,25696138,35687480,92,0,23527993,424165741
12,5100,3107792,5125,105710243,136549828,2450,193601,1797254,2680173,1961334,2263857,126277,19569,31515556,33497785,39,0,21239446,377083864
12,5200,3564508,5392,127288455,162765767,2753,147362,1523176,2592380,1827213,1951090,81990,15167,26516404,21653485,0,0,22030014,400585523
12,5300,3076683,4860,54967742,85183592,3979,300878,2036283,3260215,1829410,2262161,147759,18700,31745708,31970624,145,0,22095784,390608979
12,5400,2922462,4520,105746117,144010268,4431,361885,2363549,3441942,1702219,1984752,127066,17597,26950451,29341666,86,0,21606908,399279489
12,5500,3256806,5087,53094558,80240884,1892,155853,1984187,3005533,1739598,2079075,76588,24784,30998377,32019539,26,17,23553969,410985704
12,5600,3150277,5360,73763022,106454065,5798,224553,2379595,3494592,1855442,2085410,69953,19531,26244632,27078853,0,0,20197977,385152955
12,5700,5811728,10492,112686484,242867349,5939,83430,3209665,4746879,2681191,3009291,27452,19869,47761546,65907629,0,0,29437230,420903660
12,5800,4158861,7148,117685843,215763750,5328,215929,3302860,4945204,2686227,3002014,80355,17259,42406558,51013798,0,0,18498513,296452863
