Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
7,24500,8217532,3779,127080281,218555324,135634,4613552,3027,8797504,1805443,4661848,995474,27046,27993969,24514416,0,0,43843804,294759999
7,24600,7266824,3379,109879080,180814181,105997,3836165,2522,7839792,1797617,5058818,1184178,28882,35832568,29658258,6,9,47306542,282451644
7,24700,7233730,3847,123028820,207272110,447859,4729881,3131,9020365,1879443,5018125,1543323,30291,31653811,24677907,13,0,37365868,252501155
7,24800,8173017,4409,127034299,210340469,129063,4097703,2749,7592205,1683168,4442691,1023930,28194,32885653,29538766,13,0,45361533,299111181
7,24900,6484906,2888,105889142,180121464,215530,4256760,2875,9056226,2020021,5284865,1190434,32163,35746860,29211951,33,0,37728107,243316533
7,25000,8241167,3986,127060117,215479553,458409,4795969,2976,8523124,1757531,4517752,999416,21839,29869624,25129132,26,9,45142145,300295177
7,25100,7500861,3401,106368918,182581780,113433,3841519,2573,8031891,1849278,4926011,1577015,28117,34440758,29599622,13,0,46563900,284816103
7,25200,7097787,3820,126556057,208076028,319496,4623122,3027,9075656,1984953,5219430,1123654,21736,30746811,24797466,0,0,37656872,257251375
7,25300,8185308,4162,122940891,205431634,334486,4168740,2573,7542011,1607329,4512615,1071876,23405,35062489,29772392,13,0,45038725,299935276
7,25400,6848140,3046,109992679,195520517,121622,4399748,2976,9095171,1940475,4995693,1688558,28698,33578231,27817105,19,288,40163688,242917956
7,25500,7964731,4315,127042705,207941489,441461,4507079,2875,8290037,1700549,4413701,991064,26339,30057860,26700887,26,9,44812000,299774296
7,25600,7135364,3374,105893302,182198871,199221,4045760,2674,8299258,1904367,5319509,1202919,23180,35830995,29791181,33,0,42898543,276706937
7,25700,7643131,4108,127046076,218509896,132110,4574229,3027,9086575,2004784,4850516,1456155,22739,27774489,24576481,13,1494,45136351,258637566
7,25800,8139977,3820,118692427,189024323,435000,4025112,2598,7574656,1689605,4703519,1105989,27402,35939356,29931808,6,0,45246559,300995381
